Bread(400g),Vegetable Oil (1L),Milk (500ML),Diesel (1L),Maize meal (2kg),Gasoline (1L),Inflation,Exchange Rate (USD)
26.0,115.0,22.0,65.99,50.69333333,75.99,8.39,72.11481904761905
26.0,120.0,25.0,64.99,52.57333333,74.99,9.39,71.71273
26.0,108.0,25.0,65.99,52.48,75.99,8.85,72.20578695652173
26.0,110.0,25.0,66.64,53.61333333,76.64,5.44,71.23189411764706
26.0,120.0,25.0,67.89,55.90666667,77.89,4.47,71.68313181818182
26.0,120.0,22.0,71.09,56.8,81.09,4.28,73.32820476190476
26.0,115.0,22.0,73.99,57.16,84.99,4.16,73.5828619047619
26.0,120.0,20.0,72.99,56.92,83.99,4.92,72.79622608695652
26.0,120.0,20.0,74.99,55.77333333,85.99,5.93,72.79941904761905
26.0,120.0,20.0,69.99,54.97333333,79.99,6.55,72.22912105263158
27.0,135.0,20.0,67.99,53.08,77.99,6.64,71.05661818181818
27.0,140.0,24.0,66.99,52.44,76.99,7.98,69.55363888888888
27.0,130.0,20.0,65.99,51.85333333,75.99,4.63,69.81197727272728
27.0,135.0,20.0,65.99,49.68,75.99,3.02,69.54621
27.0,135.0,20.0,66.99,48.62666667,76.99,2.19,69.2219590909091
27.0,130.0,20.0,70.69,47.54666667,80.69,1.85,68.50772105263158
27.0,130.0,20.0,70.99,47.41333333,80.99,1.96,67.1244
27.0,125.0,20.0,71.49,47.66666667,81.49,4.07,66.50207
28.0,140.0,20.0,71.69,47.64,81.69,5.48,66.99358636363637
28.0,140.0,22.0,72.49,47.8,82.49,5.3,66.89939545454546
29.0,135.0,22.0,73.49,47.98666667,83.49,5.53,66.96288
30.0,135.0,23.0,76.29,48.10666667,86.29,5.38,66.78455714285714
31.0,135.0,23.0,77.79,48.22,87.79,6.08,65.42379090909091
32.0,145.0,23.0,78.99,48.32666667,88.99,5.7,63.357208333333325
33.0,162.0,20.0,81.99,52.99333333,91.99,9.4,67.96777272727273
33.0,165.0,25.0,82.99,54.5,92.99,10.58,70.38466842105264
33.0,173.0,25.0,87.99,55.8,97.99,11.9,64.73373529411765
33.0,175.0,25.0,89.49,63.21,99.49,16.12,62.26625833333333
33.0,177.0,26.0,91.99,67.68,101.99,18.61,61.83242857142857
33.0,180.0,26.0,96.99,68.0,102.99,17.87,63.71417
33.0,183.0,25.0,103.99,70.29,107.99,17.12,66.63038260869565
33.0,183.0,24.0,104.5,77.61,109.5,18.33,67.62406
34.0,183.0,24.0,101.2,80.8,106.9,18.73,71.22195238095239
34.0,181.0,25.0,88.9,81.8,95.9,18.74,76.57349500000001
34.0,182.0,27.0,73.0,91.1,78.0,19.54,78.09556315789474
34.0,180.0,27.0,70.9,86.0,75.9,17.83,77.95721999999999
34.0,180.0,27.0,69.0,73.0,74.0,13.22,78.91719523809523
34.0,127.0,27.0,70.0,101.0,75.0,14.69,79.45723000000001
34.0,127.0,27.0,70.0,96.0,75.0,14.6,80.18565
34.0,126.0,27.0,68.0,86.0,74.0,12.42,79.55361
35.0,126.0,30.0,67.0,87.0,76.0,9.61,77.78083000000001
34.0,126.0,30.0,67.9,92.0,75.9,8.6,77.76809523809524
34.0,126.0,30.0,69.9,90.0,80.0,8.44,76.67286086956521
33.0,133.0,30.0,72.9,86.0,80.9,7.36,76.294555
33.0,139.0,30.0,76.5,84.0,82.9,6.74,75.52692380952381
34.0,140.0,28.0,74.9,82.0,83.9,6.62,75.14144285714285
34.0,140.0,28.0,74.9,83.0,84.9,5.0,74.63452857142858
34.0,140.0,28.0,76.9,83.0,83.6,5.32,75.31817727272727
34.0,135.0,26.0,76.9,84.1,83.9,5.95,75.68718
34.0,135.0,26.0,77.4,83.4,83.9,5.18,76.63564
34.0,137.0,24.0,77.8,84.0,88.9,3.97,76.85784782608697
35.0,140.0,23.0,79.0,77.5,89.9,3.66,77.164995
31.0,138.0,25.0,79.9,75.6,89.9,3.88,78.44674285714285
33.0,156.0,25.0,81.9,71.0,89.9,3.49,80.92099999999999
34.0,154.0,27.0,77.9,74.0,89.9,3.57,81.3351
38.0,154.0,25.0,79.0,71.2,88.0,3.22,80.35063
38.0,160.0,30.0,81.9,65.0,93.9,3.21,80.82221818181819
38.0,182.0,34.0,88.9,61.9,94.5,3.18,80.62757500000001
38.0,187.0,34.0,89.3,66.0,98.5,3.84,80.37438636363636
39.0,192.0,34.0,87.46,65.0,94.03,4.51,80.48581818181817
38.0,196.0,34.0,91.0,70.72,98.08,5.42,80.94267142857143
38.0,210.0,30.0,94.53,78.0,102.44,6.54,81.38737499999999
40.0,215.0,32.0,107.52,87.0,111.17,9.19,84.1179652173913
40.0,225.0,30.0,108.02,93.0,115.35,12.05,83.80219473684211
40.0,230.0,30.0,106.3,110.0,114.93,12.95,85.34227142857142
40.0,230.0,30.0,107.16,140.0,115.14,14.48,88.91420476190476
41.0,225.0,30.0,106.21,125.0,115.16,15.53,89.79060476190476
40.0,237.0,30.0,108.57,119.0,117.49,16.67,92.67705
42.0,250.0,33.0,109.55,116.0,119.12,17.32,96.20739090909092
43.0,240.0,33.0,109.55,110.0,119.2,18.91,101.0303
40.0,250.0,33.0,112.62,113.0,122.32,19.72,93.50920454545454
40.0,250.0,35.0,112.64,104.0,121.6,18.93,86.53157999999999
43.0,250.0,35.0,106.6,106.0,111.64,18.31,86.20616666666668
43.0,250.0,39.0,105.21,105.0,111.51,16.69,83.06402857142857
45.0,250.0,45.0,106.96,102.0,115.1,15.61,82.89756666666666
48.0,230.0,48.0,107.88,118.0,116.8,13.06,83.09600526315789
48.0,230.0,43.0,108.62,125.0,119.82,12.22,84.36761818181819
46.0,233.0,40.0,97.5,116.0,108.46,10.05,84.684605
40.0,233.0,35.0,97.09,106.0,106.48,7.74,84.05095
40.0,233.0,35.0,97.09,116.0,106.48,6.09,83.98339090909091
40.0,233.0,30.0,101.07,116.0,108.95,5.32,84.51718
40.0,233.0,35.0,106.11,116.0,115.26,4.14,85.01808695652174
40.0,233.0,35.0,105.85,108.0,113.68,3.25,85.53716363636364
46.0,230.0,40.0,105.79,107.0,112.61,3.2,85.90651111111112
46.0,230.0,46.0,103.99,107.0,111.6,3.67,86.80884999999999
47.0,235.0,40.0,106.2,119.0,113.57,4.45,87.349
46.0,240.0,40.0,107.37,134.0,117.69,4.11,85.71458421052631
46.0,240.0,40.0,106.44,134.0,117.65,4.14,84.0865
40.0,200.0,35.0,101.06,105.0,113.24,4.05,84.05475909090909
40.0,185.0,39.0,99.16,105.0,108.18,4.91,85.395555
46.0,199.0,45.0,102.86,105.0,109.52,6.03,86.76142608695652
46.0,199.0,54.0,104.44,107.0,112.26,6.67,87.40076666666667
49.0,199.0,54.0,105.55,110.0,113.88,8.29,87.32024285714286
48.0,199.0,45.0,104.47,109.0,112.27,7.76,85.21302272727273
45.0,208.0,45.0,103.25,106.0,108.87,7.36,86.00176666666667
45.0,208.0,45.0,104.52,103.0,109.28,7.15,86.2177111111111
49.0,199.0,41.0,104.73,109.0,110.59,7.21,86.11768181818182
45.0,208.0,41.0,105.8,108.0,111.55,6.86,86.18447499999999
46.0,199.0,41.0,104.87,114.0,113.61,6.27,86.40235238095238
45.0,204.0,44.0,103.82,116.0,114.16,6.41,86.626435
50.0,215.0,45.0,104.71,125.0,114.73,7.3,87.3226619047619
50.0,215.0,45.0,104.81,125.0,114.62,7.39,87.52519
50.0,215.0,45.0,104.67,115.0,115.86,7.67,87.68340454545455
50.0,235.0,45.0,102.98,125.0,116.62,8.36,88.02609047619048
50.0,235.0,45.0,102.36,120.0,111.64,6.6,88.74936363636363
50.0,235.0,45.0,100.67,115.0,110.89,6.43,89.14983043478261
50.0,235.0,45.0,100.67,115.0,110.89,6.09,89.880795
50.0,230.0,45.0,90.85,115.0,102.01,6.02,90.3597
50.0,230.0,47.0,83.35,115.0,92.88,5.53,91.28561428571429
50.0,235.0,50.0,75.52,102.0,84.71,5.61,91.41941
50.0,235.0,50.0,77.48,107.0,89.35,6.31,91.65511363636364
50.0,235.0,50.0,77.48,107.0,89.35,7.08,97.36723513513513
50.0,235.0,50.0,77.48,107.0,89.35,6.87,96.303935
50.0,200.0,50.0,83.31,110.0,97.28,7.03,97.61454761904761
50.0,200.0,50.0,84.56,110.0,98.59,6.62,101.10119130434784
50.0,200.0,50.0,79.99,115.0,102.65,5.84,102.3373857142857
50.0,225.0,50.0,79.99,110.0,102.65,5.97,105.17780454545455
50.0,210.0,50.0,82.43,105.0,93.29,6.72,102.6937
50.0,210.0,50.0,78.51,102.0,90.06,7.32,102.05404285714286
50.0,215.0,50.0,76.7,102.0,88.6,8.01,102.08789545454546
48.0,235.0,48.0,76.7,95.0,88.6,7.78,102.21475000000001
48.0,235.0,48.0,67.8,96.0,86.5,6.84,101.83364761904762
46.0,255.0,48.0,65.7,90.0,85.8,6.45,101.38999523809522
45.0,255.0,46.0,66.2,90.0,80.7,5.27,101.1323
45.0,255.0,48.0,70.3,89.0,84.2,5.0,100.63612857142856
48.0,255.0,48.0,73.71,105.0,86.17,5.8,101.04820000000001
48.0,262.0,48.0,83.2,110.0,92.9,6.4,101.235405
50.0,265.0,50.0,84.5,110.0,95.1,6.26,101.31144782608696
50.0,265.0,50.0,82.46,112.0,91.39,6.34,101.17265238095239
50.0,265.0,50.0,82.1,104.0,91.5,6.47,101.22623
50.0,270.0,50.0,82.74,110.0,94.94,6.68,101.64957272727271
50.0,270.0,48.0,87.2,107.0,94.2,6.35,102.03336315789474
50.0,225.0,48.0,84.2,120.0,96.0,6.99,103.64578095238096
49.0,285.0,50.0,89.2,126.0,100.2,9.04,103.5407619047619
50.0,299.0,53.0,90.4,150.0,101.0,10.28,102.76120869565217
50.0,298.0,60.0,88.6,170.0,98.0,11.48,103.22530555555555
50.0,298.0,55.0,88.0,170.0,99.5,11.7,103.16312727272727
49.0,298.0,55.0,86.8,170.0,98.7,9.21,103.40161428571429
49.0,296.0,52.0,84.4,90.0,97.1,7.47,103.77717142857144
50.0,295.0,53.0,86.8,90.0,98.3,8.04,103.45639090909093
50.0,298.0,55.0,86.86,90.0,98.3,7.06,103.02778181818181
50.0,298.0,52.0,88.7,90.0,101.6,5.72,103.30372500000001
50.0,303.0,50.0,92.4,90.0,102.7,4.73,103.47160952380952
50.0,306.0,50.0,92.4,90.0,104.1,4.5,102.99562222222222
50.0,304.0,48.0,94.8,114.0,106.3,4.83,102.8169090909091
50.0,304.0,48.0,96.9,109.0,107.9,4.46,101.29978
50.0,305.0,55.0,97.8,103.0,107.4,4.18,101.08200000000001
50.0,304.0,48.0,97.8,95.0,106.8,3.73,100.509535
50.0,304.0,48.0,98.6,95.0,107.1,3.95,100.56699545454545
50.0,304.0,46.0,103.6,92.0,108.8,4.28,100.90383684210526
50.0,307.0,48.0,103.25,94.0,112.2,4.35,100.57214090909092
50.0,304.0,48.0,115.0,89.0,127.8,4.04,100.51290454545455
50.0,313.0,45.0,108.12,75.0,116.8,5.7,100.73399500000001
50.0,315.0,48.0,109.72,85.0,115.73,5.53,100.97574545454545
49.0,313.0,49.0,112.8,89.0,118.1,5.58,102.25661363636364
50.0,313.0,48.0,112.3,87.0,113.5,5.71,102.19212777777778
50.0,317.0,49.0,102.2,85.0,104.2,4.7,101.48519999999999
50.0,313.0,48.0,95.96,85.0,100.0,4.14,100.13397
50.0,313.0,45.0,96.6,99.0,101.3,4.35,100.26180952380953
50.0,313.0,55.0,102.1,115.0,106.6,6.58,100.965805
50.0,313.0,55.0,104.3,120.0,112.0,4.49,101.05133636363635
50.0,313.0,55.0,104.72,122.0,115.05,5.7,101.58885789473685
48.0,313.0,50.0,103.8,121.0,115.3,6.27,103.05770434782609
50.0,315.0,50.0,100.6,123.0,112.53,5.0,103.19867142857142
50.0,313.0,48.0,103.4,121.0,112.81,3.83,103.70032380952381
48.0,313.0,50.0,101.9,130.0,108.0,4.95,103.56740476190477
50.0,332.0,50.0,104.6,130.0,110.5,5.56,102.28835714285714
50.0,330.0,46.0,109.5,126.0,101.7,5.82,101.4013
50.0,354.0,48.0,102.3,127.0,110.2,5.78,100.9817956521739
48.0,319.0,50.0,104.4,124.0,112.8,7.17,100.69484736842105
48.0,314.0,50.0,101.6,129.0,110.8,5.84,103.63918181818181
49.0,314.0,52.0,97.56,124.0,92.87,6.01,106.31151
50.0,314.0,50.0,78.3,124.0,83.3,5.33,106.57578421052632
50.0,314.0,50.0,91.87,104.0,110.48,4.59,106.30333333333333
43.0,314.0,42.0,91.8,113.0,100.4,4.36,107.16673636363636
43.0,300.0,45.0,94.6,104.0,103.9,4.36,108.03856666666668
43.0,396.0,50.0,94.5,103.0,105.4,4.2,108.30793636363637
49.0,346.0,45.0,92.9,102.0,107.2,4.84,108.53826666666667
43.0,346.0,45.0,90.7,103.0,105.85,5.33,109.15207142857142
43.0,352.0,45.0,91.8,105.0,106.3,5.62,110.49355909090909
50.0,359.0,46.0,96.4,103.0,106.9,5.69,109.73008
50.0,377.0,45.0,101.97,96.0,115.1,5.78,109.58279999999999
50.0,377.0,46.0,107.6,105.0,122.8,5.9,109.62970869565217
50.0,377.0,48.0,107.6,110.0,122.8,5.76,107.84514999999999
50.0,377.0,47.0,107.6,107.0,126.3,5.87,107.328905
50.0,368.0,44.0,107.66,104.0,127.14,6.32,107.7086857142857
50.0,368.0,46.0,107.66,99.0,127.14,6.55,108.04425714285715
50.0,368.0,45.0,107.66,97.0,127.14,6.57,109.13943636363636
50.0,368.0,47.0,115.6,104.0,134.7,6.91,110.02992272727273
50.0,368.0,47.0,110.6,104.0,129.7,6.45,110.76188421052632
57.0,368.0,47.0,110.6,108.0,129.7,5.8,111.81715909090909
57.0,368.0,49.0,110.6,123.0,129.7,5.73,112.8133380952381
57.0,368.0,50.0,110.6,123.0,129.7,5.39,113.28097142857143
57.0,368.0,50.0,110.6,123.0,129.7,5.08,113.56174000000001
54.0,411.0,59.0,125.4,134.0,144.6,5.56,114.21583043478262
54.0,411.0,59.0,125.4,134.0,144.6,6.47,115.30470555555556
63.0,517.0,55.0,131.0,185.0,150.12,7.08,116.181375
63.0,568.0,55.0,140.0,210.0,159.12,7.91,117.19028571428572
63.0,568.0,55.0,140.0,210.0,159.12,8.32,118.22291
63.0,622.0,55.0,140.0,210.0,159.12,8.53,119.3471909090909
63.0,622.0,57.0,165.0,189.0,179.3,9.18,120.31731904761905
60.0,599.0,54.0,163.0,192.0,178.3,9.59,120.93071578947368
60.0,599.0,55.0,162.0,211.0,177.3,9.48,121.8001409090909
60.0,599.0,60.0,162.0,202.0,177.3,9.06,122.83452105263159
60.0,599.0,53.0,162.0,185.0,177.3,8.98,123.82577142857141
60.0,599.0,53.0,162.0,185.0,177.3,9.23,125.34691000000001
